"gauge_id","Y_mean"
3414001,-28.1818567541177
3421001,-28.4278294932762
3430003,-27.9568406765942
3820001,-29.0953767941305
4302001,-29.8531609522114
4311001,-30.3564309822003
4313001,-30.2713838918194
4320001,-30.0076954544904
4501001,-30.5355451739601
4503001,-30.4402398874902
4511002,-30.9780880556358
4513001,-31.0342420096551
4515002,-30.8394755522583
4522002,-30.6955572095346
4531002,-31.1564701173055
4703002,-32.0479346101219
5100001,-32.2075729015775
5101001,-32.07366692109
5200001,-32.3041042605964
5401003,-32.9089970034046
5410002,-32.8336002147566
5411001,-32.9927725143202
5414001,-32.4288451150502
5707002,-33.3853462866345
5710001,-33.7085906786011
5721001,-33.2621207977043
5722001,-33.2222392753235
5722002,-33.3227419814972
5730008,-33.4485107464871
5741001,-33.1604487802779
6003001,-34.4372473281368
6013001,-34.5286070533015
6027001,-34.8455653135426
6028001,-34.7711221166136
7103001,-35.1511523191568
7104002,-35.0861622782027
7112001,-35.3625938626654
7115001,-35.4276600288006
7321002,-35.9435189500154
7330001,-36.452583424041
7350003,-36.319043909644
7354002,-36.0848212936508
7358001,-35.7859693743789
7381001,-35.2853514579847
8104001,-36.5492575436595
